dipt_id,nombre_listado,nombre_ficha,entidad,distrito_circunscripcion,principio_estimado,principio_ficha,entidad_ficha,distrito_ficha,curul,partido_estimado,email,suplente,licencia_en_listado,perfil_url,foto_src,partido_logo_src,foto_original_local,foto_png_bn,error_perfil
391,Abreu Artiñano Rocío Adriana,ROCÍO ADRIANA ABREU ARTIÑANO,Campeche,Circ. 3,Representacion Proporcional,Representación proporcional,,,H-265,MORENA,rocio.abreu@diputados.gob.mx,Beatriz Eugenia Rodríguez Interian,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=391,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/490_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/001_391_abreu_artinano_rocio_adriana.png,static/img/diputados_lxvi_bn/001_391_abreu_artinano_rocio_adriana.png,
253,Acosta Islas Anabel,ANABEL ACOSTA ISLAS,Sonora,Dtto. 6,Mayoria Relativa,Mayoría Relativa,Sonora,6,I-304,MORENA,anabel.acosta@diputados.gob.mx,Margarita Yaracel Esquer Lugo,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=253,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/459_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/002_253_acosta_islas_anabel.png,static/img/diputados_lxvi_bn/002_253_acosta_islas_anabel.png,
88,Acosta Trujillo Juana,JUANA ACOSTA TRUJILLO,Guanajuato,Dtto. 14,Mayoria Relativa,Mayoría Relativa,Guanajuato,14,M-476,MORENA,juana.acosta@diputados.gob.mx,Miriam Fabiola Marmolejo López,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=88,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/089_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/003_88_acosta_trujillo_juana.png,static/img/diputados_lxvi_bn/003_88_acosta_trujillo_juana.png,
641,Aguilera Claro Zaria,ZARIA AGUILERA CLARO,México,Dtto. 17,Mayoria Relativa,Mayoría Relativa,México,17,K-398,MORENA,zaria.aguilera@diputados.gob.mx,,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=641,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/547_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/004_641_aguilera_claro_zaria.png,static/img/diputados_lxvi_bn/004_641_aguilera_claro_zaria.png,
89,Aguirre Gallardo José Javier,JOSÉ JAVIER AGUIRRE GALLARDO,Guanajuato,Dtto. 15,Mayoria Relativa,Mayoría Relativa,Guanajuato,15,K-404,MORENA,jose.aguirre@diputados.gob.mx,Roberto Vidal Romero,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=89,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/011_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/005_89_aguirre_gallardo_jose_javier.png,static/img/diputados_lxvi_bn/005_89_aguirre_gallardo_jose_javier.png,
232,Aldana Navarro Luis Humberto,LUIS HUMBERTO ALDANA NAVARRO,Quintana Roo,Dtto. 3,Mayoria Relativa,Mayoría Relativa,Quintana Roo,3,D-104,MORENA,luis.aldana@diputados.gob.mx,Guadalupe Del Socorro Uitz,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=232,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/175_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/006_232_aldana_navarro_luis_humberto.png,static/img/diputados_lxvi_bn/006_232_aldana_navarro_luis_humberto.png,
180,Alonso Gutiérrez Agustín,AGUSTÍN ALONSO GUTIÉRREZ,Morelos,Dtto. 5,Mayoria Relativa,Mayoría Relativa,Morelos,5,E-136,MORENA,agustin.alonso@diputados.gob.mx,Violeta Campos Alvear,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=180,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/420_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/007_180_alonso_gutierrez_agustin.png,static/img/diputados_lxvi_bn/007_180_alonso_gutierrez_agustin.png,
539,Álvarez López Jesús Emiliano,JESÚS EMILIANO ÁLVAREZ LÓPEZ,Ciudad de México,Dtto. 1,Mayoria Relativa,Mayoría Relativa,Ciudad de México,1,H-271,MORENA,jesus.alvarez@diputados.gob.mx,,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=539,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/504_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/008_539_alvarez_lopez_jesus_emiliano.png,static/img/diputados_lxvi_bn/008_539_alvarez_lopez_jesus_emiliano.png,
158,Álvarez Nemer Mónica Angélica,MÓNICA ANGÉLICA ÁLVAREZ NEMER,México,Dtto. 34,Mayoria Relativa,Mayoría Relativa,México,34,J-360,MORENA,monica.alvarez@diputados.gob.mx,María Emma Aguilar Delgado,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=158,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/069_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/009_158_alvarez_nemer_monica_angelica.png,static/img/diputados_lxvi_bn/009_158_alvarez_nemer_monica_angelica.png,
108,Álvarez Villaseñor Raúl,RAÚL ÁLVAREZ VILLASEÑOR,Jalisco,Dtto. 4,Mayoria Relativa,Mayoría Relativa,Jalisco,4,L-436,MORENA,raul.alvarez@diputados.gob.mx,Martha Adilene Navarro Hernández,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=108,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/001_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/010_108_alvarez_villasenor_raul.png,static/img/diputados_lxvi_bn/010_108_alvarez_villasenor_raul.png,
