expediente,categoria,numero,fragmento
SUP-RAP-385/2023,rp,1,"confirma , en lo que fue materia de impugnación, el A cuerdo INE/CG 645/2023 del Consejo General del Instituto Nacional Electoral , mediante el cual se determinó el mecanismo para la aplicación de la fórmula de asignación de las diputaciones y las senadurías por el principio de representación proporcional en el Congreso de la Unión, en el marco del proceso electoral federal 2023-2024. Lo anterior, porqu e : 1) Contrario a lo que sostuvo el PAN, la autoridad sí previó un mecanismo con el fin de evitar la implementación de estrategias que distorsionen el sistema de representación,"
SUP-RAP-385/2023,rp,2,"ESTUDIO DE FONDO 9. CONCLUSIÓN 10. PUNTOS RESOLUTIVOS 11. ANEXO 1. SÍNTESIS DEL ACUERDO INE/CG645/2023 GLOSARIO Acuerdo: Acuerdo INE/CG645/2023 , por el que se determina el mecanismo para la aplicación de la fórmula de asignación de las curules y los escaños por el principio de representación proporcional en el Congreso de la Unión, que correspondan a los partidos políticos nacionales , con base en los resultados que obtengan en la jornada electoral a celebrarse el dos de junio de dos mil veinticuatro Constitución general o CPEUM : Constitución Política de los Estados Unidos Mexi"
SUP-RAP-385/2023,rp,3,Procedimientos Electorales Ley de Medios: Ley General de l Sistema de Medios de Impugnación en Materia Electoral Ley de Partidos o LGPP : Ley General de Partidos Políticos MR: Mayoría relativa PAN: Partido Acción Nacional PES: Partido Encuentro Social PT: Partido del Trabajo RP: Representación proporcional Sala Superior: Sala Superior del Tribunal Electoral del Poder Judicial de la Federación SCJN o Suprema Corte: Suprema Corte de Justicia de la Nación Tribunal Electoral: Tribunal Electoral del Poder Judicial de la Federación 1. ASPECTOS GENERALES (1) El Consejo General del INE em
SUP-RAP-385/2023,rp,4,"erificación de los límites de sobrerrepresentación en la integración de la Cámara de Diputaciones del Congreso de la Unión ; y , por otro lado, el PT impugna la medida que aprobó el INE para garantizar la paridad de género , específicamente, e n la asignación de diputaciones por representación proporcional . (28) A continuación, se estudiarán los planteamientos de la parte actora en ese orden . [11] 8.2. V erificación de los límites de sobrerrepresentación en la integración de la Cámara de Diputaciones del Congreso de la Unión 8.2.1. Agravios del PAN (29) El partido recurrente ale"
SUP-RAP-385/2023,rp,5,"rídica distinta a las fuerzas que la conforman . [26] Es e entendimiento es importante, dada la composición del sistema de representación previsto en la Constitución general y la legislación respectiva. (46) Tal y como se explicó previamente, ambos sistemas de mayoría relativa y representación proporcional se c onjugan en un modelo único de sufragio. Es decir, un voto tiene doble efecto , pues a la vez que manifiesta su respaldo por una candidatura de MR para que gane el distrito respectivo, también se traduce en un apoyo a favor del partido político contendiente para la distribuc"
SUP-OP-4/2023,fiscalizacion,1,"os Públicos Locales Electorales [11] 33 párrafo 1; 47; 55, párrafo 1, inciso ñ); 56, párrafo 1, incisos h) , m) y ñ) ; 57; 58; 59; 61; 62; 71; 72; 99 párrafo s 3 y 4 ; 121; 456; 465; 468; 469; 470; 471; 472; 474 y 474 bis de la LGIPE. S í 2 Aspectos vinculados con las labores de fiscalización del INE Decreto en su totalidad, así como los artículos 49, párrafo 2; 62, párrafo 4; 229, párrafos 3 y 4 y 456, párrafo 1, inciso c), fracción III, e inciso d), fracciones III, IV y V de la LGIPE , y 8, párrafo 2 ; 11 ; 23, párrafo 1, inciso d) ; 59, párrafo 2 y 60, párrafo 2 d"
SUP-OP-4/2023,fiscalizacion,2,"ejada una afectación en las funciones del INE, en particular la de l registro de candidaturas, pues ahora la administración del sistema atinente le corresponderá a la Dirección Ejecutiva de Partidos Políticos, cuando en la práctica esa función le pertenece a la Unidad Técnica de Fiscalización ; f) De forma análoga, los OPLE también resienten una restructuración y disminución de plazas , pues el artículo 99 párrafos 3 y 4 de la LGIPE prevén que contarán con una estructura que comprenda, por una parte, la organización, capacitación electoral y educación cívica, y por o"
SUP-OP-4/2023,propaganda,1,"so a) de la LGPP. S í 7 Padrón electoral de la ciudadanía mexicana residente en el extranjero 135 párrafo 1 ; 331 párrafos 3 inciso a) y 4; 333, párrafo 1 y 371 de la LGIPE . Parcialmente 8 Violaciones al artículo 105 de la CPEUM Decreto en su totalidad. S í 9 Restricciones a la propaganda gubernamental 209, párrafo 1 de la LGIPE. S í 10 Registro y acreditación de partidos políticos nacionales en ámbito local 52, párrafo 1 de la LGPP . S í 11 Vicios en el procedimiento legislativo Decreto en su totalidad, así como los artículos 11 y 11 Bis de la LGIPE No 12 Divisi"
SUP-JDC-296/2024,rp,1,"cción Nacional Tribunal local: Tribunal Electoral del Estado de Tamaulipas 1. ASPECTOS GENERALES (1) Un a persona militante del PAN promovió un juicio de inconformidad en contra de la invitación para la designación de las candidaturas a diputaciones federales por el principio de representación proporcional en las posiciones 1 a 3 de las cinco circunscripciones electorales plurinominales que postulará el PAN en el proceso electoral federal 2023-2024. (2) No obstante, ante la falta de respuesta de la Comisión de Justicia, así como la presunta omisión de dar trámite y admitir su juic"
SUP-JDC-296/2024,rp,2,"ciudadanía. 2. ANTECEDENTES (4) Medio de impugnación partidista. El veintisiete de enero [2] , la parte actora presentó un recurso ante la Comisión de Justicia, solicitando la nulidad de la invitación para designar a las candidaturas a diputaciones federales por el principio de representación proporcional, en las posiciones 1 a 3 de las cinco circunscripciones, que postulará y registrará el PAN en el proceso electoral federal 2023-2024. (5) Medio de impugnación local. El once de febrero, la parte actora presentó un medio de impugnación ante el Tribunal local en contra de la omisi"
