expediente,year,medio,tema_inventario,sentido_probable,texto_chars,categorias_detectadas,decision_revision,url_oficial,archivo_local,file_size
SUP-JDC-427/2023,2023,JDC,reeleccion legislativa,no detectado,13920,sin categoria detectada,descargada_sin_marca_tematicamente_relevante,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0427-2023,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0427-2023.html,200267
SUP-JDC-550/2023,2023,JDC,reeleccion legislativa,desecha,34346,sin categoria detectada,descargada_sin_marca_tematicamente_relevante,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0550-2023,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0550-2023.html,177708
SUP-RAP-385/2023,2023,RAP,asignacion rp,confirma,24603,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-385-2023,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-385-2023.html,200486
SUP-OP-4/2023,2023,OP,opinion constitucional,no detectado,10275,"fiscalizacion, propaganda",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-OP-0004-2023-,documents/diputaciones_2023_2024/tepjf_html/SUP-OP-0004-2023-.html,200242
SUP-JDC-296/2024,2024,JDC,seleccion interna rp,no detectado,10452,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0296-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0296-2024-.html,125577
SUP-JDC-414/2024,2024,JDC,seleccion interna rp,revoca,21198,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0414-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0414-2024-.html,200413
SUP-JDC-559/2024,2024,JDC,seleccion interna rp,no detectado,24433,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0559-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0559-2024-.html,198827
SUP-JDC-606/2024,2024,JDC,seleccion interna rp,desecha,24483,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0606-2024,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0606-2024.html,102175
SUP-JDC-798/2024,2024,JDC,seleccion interna rp,confirma,29428,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0798-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0798-2024-.html,97048
SUP-JDC-858/2024,2024,JDC,seleccion interna,no detectado,22204,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-0858-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-JDC-0858-2024-.html,99264
SUP-AG-182/2024,2024,AG,asignacion rp irreparable,desecha,12456,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-AG-0182-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-AG-0182-2024-.html,172856
SUP-AG-184/2024,2024,AG,integracion camara,desecha,18724,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-AG-0184-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-AG-0184-2024-.html,145793
SUP-AG-193/2024,2024,AG,asignacion rp irreparable,desecha,16970,"rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-AG-0193-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-AG-0193-2024-.html,139018
SUP-RAP-103/2024,2024,RAP,registro y rp,confirma,38210,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0103-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0103-2024-.html,200706
SUP-RAP-342/2024,2024,RAP,fiscalizacion federal,revoca / confirma,91749,"fiscalizacion, rp, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0342-2024,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0342-2024.html,490955
